"filename", "language", "CSS", "JavaScript", "vue", "XML", "Markdown", "JSON", "Swift", "HTML", "Groovy", "Java Properties", "Batch", "Java", "comment", "blank", "total"
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\README.md", "Markdown", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 2, 6, 54
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\android\app\capacitor.build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 7, 20
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\android\app\src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 6, 27
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 43
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\android\app\src\main\java\net\paymentcalculator\app\MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 6
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\android\app\src\main\res\drawable-v24\ic_launcher_foreground.xml", "XML", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\android\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 0, 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 171
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\android\app\src\main\res\layout\activity_main.xml", "XML", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\android\app\src\main\res\values\ic_launcher_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 22
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\android\app\src\main\res\xml\file_paths.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\android\app\src\test\java\com\getcapacitor\myapp\ExampleUnitTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 5, 19
